,price,Year,Hand,Kilometer,Area,Gearbox,Engine capcity,Color,manufacturer,type
0,28000.0,2014.0,3.0,158000.0, פתח תקוה והסביבה,אוטומטית,1000.0,             שחור,יונדאי, i10
1,30000.0,2013.0,5.0,117000.0, מושבים בשפלה,אוטומטית,1400.0,             אפור,יונדאי, i20
2,33000.0,2011.0,3.0,105000.0, נס ציונה - רחובות,אוטומטית,1560.0,             אפור,יונדאי, i25
3,28000.0,2013.0,2.0,220000.0, פתח תקוה והסביבה,אוטומטית,1590.0,             כחול מטאלי,יונדאי, i30cw
5,21000.0,2010.0,3.0,167000.0, פתח תקוה והסביבה,אוטומטית,1600.0,             תכלת,יונדאי, i30cw
6,135000.0,2019.0,1.0,46000.0, קריות,אוטומטית,2000.0,             כסוף מטאלי,יונדאי, סונטה
8,74900.0,2019.0,1.0,50000.0, זכרון - בנימינה,אוטומטית,998.0,             אפור,יונדאי, i20
9,17900.0,2012.0,3.0,139000.0, תל אביב,ידנית,1250.0,             אפור,יונדאי, i20
10,48000.0,2012.0,3.0,100000.0, בקעת אונו,אוטומטית,1600.0,             שחור מטאלי,יונדאי, i25
11,59000.0,2016.0,2.0,73000.0, חיפה וחוף הכרמל,אוטומטית,1368.0,             לבן שנהב,יונדאי, i20
12,75000.0,2021.0,1.0,1300.0, חיפה וחוף הכרמל,אוטומטית,1197.0,             טורקיז,יונדאי, i10
13,49500.0,2014.0,3.0,127000.0, באר שבע והסביבה,אוטומטית,1600.0,             לבן,יונדאי, i35
14,7500.0,2006.0,4.0,156000.0, רמת גן - גבעתיים,אוטומטית,1350.0,             לבן שנהב,יונדאי, גטס
15,43000.0,2016.0,2.0,118000.0, אשדוד - אשקלון,אוטומטית,1400.0,             אפור מטאלי,יונדאי, i25
16,89000.0,2016.0,1.0,80000.0, חיפה וחוף הכרמל,אוטומטית,1999.0,             כסוף,יונדאי, סונטה
17,33000.0,2011.0,6.0,155000.0, ירושלים והסביבה,אוטומטית,1600.0,             צהוב מטאלי,יונדאי, ולוסטר
18,34000.0,2014.0,2.0,156000.0, ירושלים והסביבה,אוטומטית,1400.0,             אפור מטאלי,יונדאי, i25
19,23000.0,2011.0,3.0,120000.0, מודיעין והסביבה,ידנית,1400.0,             תכלת,יונדאי, i20
20,32000.0,2013.0,3.0,175500.0, באר שבע והסביבה,ידנית,1591.0,             שחור,יונדאי, ולוסטר
21,39000.0,2016.0,3.0,100000.0," ראשל""צ והסביבה",אוטומטית,999.0,             שחור,יונדאי, i10
22,2000.0,2006.0,6.0,210000.0, יישובי השומרון,אוטומטית,1495.0,             כסוף,יונדאי, ACCNET
23,21000.0,2011.0,2.0,217000.0, זכרון - בנימינה,אוטומטית,1400.0,             ,יונדאי, i20
25,29000.0,2014.0,3.0,122000.0, באר שבע והסביבה,אוטומטית,1000.0,             שחור,יונדאי, i10
26,44000.0,2013.0,2.0,165000.0, אזור צפון,אוטומטית,1600.0,             ,יונדאי, i30
27,5300.0,2006.0,5.0,218000.0, רמת השרון - הרצליה,ידנית,1400.0,             אפור,יונדאי, גטס
28,33000.0,2013.0,2.0,209000.0, ירושלים והסביבה,אוטומטית,1600.0,             אפור מטאלי,יונדאי, i30
29,55000.0,2018.0,2.0,62800.0, עכו - נהריה,אוטומטית,1248.0,             שחור,יונדאי, i10
30,120000.0,2016.0,1.0,66000.0, ירושלים והסביבה,אוטומטית,1999.0,             לבן פנינה,יונדאי, סונטה
32,17000.0,2009.0,3.0,200000.0, באר שבע והסביבה,אוטומטית,1600.0,             ,יונדאי, i30
33,106000.0,2019.0,1.0,40000.0, הוד השרון והסביבה,אוטומטית,1600.0,             לבן,יונדאי, איוניק
34,59000.0,2016.0,3.0,68000.0, אשדוד - אשקלון,ידנית,1591.0,             שחור מטאלי,יונדאי, ולוסטר
35,15000.0,2009.0,4.0,107154.0, מושבים בשפלה,אוטומטית,1591.0,             בז’ מטאלי,יונדאי, i30
36,75000.0,2018.0,2.0,40000.0, מושבים בצפון,אוטומטית,1400.0,             אפור מטאלי,יונדאי, i20
37,43500.0,2015.0,2.0,108200.0, חיפה וחוף הכרמל,אוטומטית,1368.0,             כסוף,יונדאי, i25
38,67000.0,2019.0,1.0,75000.0, זכרון - בנימינה,אוטומטית,1000.0,             לבן שנהב,יונדאי, i20
39,13000.0,2009.0,5.0,150000.0, רמלה - לוד,אוטומטית,1600.0,             כסוף,יונדאי, i30
41,198000.0,2021.0,1.0,12500.0, קיסריה והסביבה,אוטומטית,1598.0,             אפור מטאלי,יונדאי, סונטה
42,71900.0,2020.0,1.0,20500.0, מושבים בצפון,אוטומטית,1197.0,             כחול בהיר,יונדאי, i10
44,67000.0,2019.0,2.0,30000.0, תל אביב,אוטומטית,1248.0,             לבן,יונדאי, i10
45,65000.0,2019.0,2.0,10500.0, פתח תקוה והסביבה,אוטומטית,1248.0,             שחור,יונדאי, i10
46,96000.0,2019.0,1.0,51000.0, באר שבע והסביבה,אוטומטית,1353.0,             לבן פנינה,יונדאי, i30
47,94000.0,2019.0,2.0,62000.0, באר שבע והסביבה,אוטומטית,1580.0,             אפור,יונדאי, איוניק
48,102400.0,2017.0,2.0,99000.0, אשדוד - אשקלון,אוטומטית,1999.0,             שחור מטאלי,יונדאי, סונטה
49,74900.0,2017.0,2.0,82000.0," ראשל""צ והסביבה",אוטומטית,1591.0,             לבן,יונדאי, אלנטרה
50,45000.0,2015.0,5.0,145000.0, ירושלים והסביבה,אוטומטית,1591.0,             כסוף מטאלי,יונדאי, i30
51,5200.0,2007.0,2.0,222225.0, רמת השרון - הרצליה,אוטומטית,1399.0,             לבן,יונדאי, גטס
52,25000.0,2013.0,2.0,99600.0, חיפה וחוף הכרמל,ידנית,1248.0,             לבן,יונדאי, i20
53,105000.0,2016.0,1.0,136000.0, מושבים בצפון,אוטומטית,1999.0,             לבן,יונדאי, סונטה
54,37000.0,2015.0,3.0,46500.0, גליל ועמקים,אוטומטית,998.0,             בורדו,יונדאי, i10
55,32000.0,2013.0,1.0,20000.0, נס ציונה - רחובות,אוטומטית,1086.0,             אפור עכבר,יונדאי, i10
56,11000.0,2011.0,2.0,266000.0, מושבים בשרון,אוטומטית,1399.0,             לבן,יונדאי, אקסנט
57,35000.0,2014.0,2.0,179000.0, באר שבע והסביבה,אוטומטית,1368.0,             כסוף,יונדאי, i25
58,51000.0,2016.0,4.0,130000.0, באר שבע והסביבה,אוטומטית,1591.0,             כסוף,יונדאי, אלנטרה
59,63000.0,2014.0,2.0,68000.0, מושבים בשרון,אוטומטית,1591.0,             אפור מטאלי,יונדאי, ולוסטר
60,92000.0,2018.0,1.0,41400.0, בקעת אונו,אוטומטית,1353.0,             אפור עכבר,יונדאי, i30
61,98000.0,2017.0,3.0,88000.0, באר שבע והסביבה,אוטומטית,1999.0,             שחור מטאלי,יונדאי, סונטה
63,56000.0,2016.0,1.0,210000.0, נתניה והסביבה,אוטומטית,1591.0,             לבן,יונדאי, i30
64,27000.0,2014.0,1.0,159800.0, גדרה יבנה והסביבה,אוטומטית,1248.0,             לבן,יונדאי, i10
65,41000.0,2014.0,1.0,150500.0, ירושלים והסביבה,אוטומטית,1600.0,             כסוף מטאלי,יונדאי, i35
66,6800.0,2009.0,3.0,240000.0, יישובי השומרון,אוטומטית,1600.0,             כחול כהה,יונדאי, מטריקס
67,10000.0,2008.0,5.0,196500.0, באר שבע והסביבה,אוטומטית,1599.0,             אפור,יונדאי, אקסנט
68,17000.0,2012.0,1.0,275000.0, חדרה וישובי עמק חפר,אוטומטית,1600.0,             אפור עכבר,יונדאי, i30cw
69,75000.0,2016.0,3.0,82500.0, באר שבע והסביבה,אוטומטית,1600.0,             אפור מטאלי,יונדאי, אלנטרה
70,48000.0,2014.0,3.0,120000.0, באר שבע והסביבה,אוטומטית,1591.0,             כסוף,יונדאי, i35
71,65000.0,2019.0,1.0,30000.0, ירושלים והסביבה,אוטומטית,1248.0,             כחול כהה,יונדאי, i10
72,65000.0,2016.0,2.0,60000.0, חיפה וחוף הכרמל,אוטומטית,1591.0,             אפור מטאלי,יונדאי, אלנטרה
73,5500.0,2005.0,3.0,110000.0, פתח תקוה והסביבה,אוטומטית,1300.0,             אפור עכבר,יונדאי, גטס
74,43000.0,2015.0,2.0,149000.0, מושבים בצפון,אוטומטית,1591.0,             לבן,יונדאי, i30
75,37.0,2012.0,2.0,10800.0, בקעת אונו,אוטומטית,1600.0,             לבן מטאלי,יונדאי, i35
76,97000.0,2018.0,2.0,101000.0, עמק יזרעאל,אוטומטית,1580.0,             לבן,יונדאי, איוניק
77,5000.0,2006.0,3.0,230000.0, רעננה - כפר סבא,אוטומטית,1495.0,             כסוף,יונדאי, אקסנט
78,16500.0,2014.0,5.0,145000.0, מושבים בשרון,ידנית,998.0,             לבן,יונדאי, i10
79,10500.0,2009.0,2.0,224000.0, תל אביב,אוטומטית,1399.0,             כסוף,יונדאי, אקסנט
80,15500.0,2012.0,3.0,190000.0, מודיעין והסביבה,ידנית,1086.0,             כחול מטאלי,יונדאי, i10
82,55000.0,2016.0,2.0,35000.0, כרמיאל והסביבה,אוטומטית,1368.0,             תכלת מטאלי,יונדאי, i25
83,42000.0,2015.0,2.0,143000.0, חולון - בת ים,אוטומטית,1591.0,             לבן,יונדאי, i25
84,37000.0,2015.0,2.0,62000.0, מושבים בשפלה,אוטומטית,998.0,             אפור עכבר,יונדאי, i10
